interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,cdp,debounceTimer,description,fec,lacpPortPriority,lacpRate,policyType,portChannelId,portChannelMode,primaryInterface,ptp
Ethernet1/10,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d027-sr-09-10-nic2-port3,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/12,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d033-sr-09-12-nic2-port3,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d039-sr-09-14-nic2-port3,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d045-sr-09-16-nic2-port3,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/18,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d051-sr-09-18-nic2-port3,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/19,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bplcmm003-m3-02-20-ocp-p1,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bplcmm003-m3-02-20-nic2-p1,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/1,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d003-sr-09-2-nic1-port1,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d009-sr-09-4-nic1-port1,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d015-sr-09-6-nic1-port1,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
