interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,cdp,debounceTimer,description,extraConfig,fec,lacpPortPriority,lacpRate,policyType,portChannelId,portChannelMode,primaryInterface,ptp
Ethernet1/7,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d024-m3-06-8-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/8,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d024-m3-06-8-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/9,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d030-m3-06-10-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/10,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d030-m3-06-10-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/11,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d036-m3-06-12-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/12,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d036-m3-06-12-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/13,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d042-m3-06-14-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/14,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d042-m3-06-14-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/15,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d048-m3-06-16-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/16,FLM30050KD7,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d048-m3-06-16-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
